,LATITUD,LONGITUD
0,19.6961119,-101.162733
1,19.6919556,-101.1179717
2,19.7076675,-101.1576587
3,19.6774631,-101.254686
4,19.6974784311727,-101.158290994387
5,21.0632534,-100.4739027
6,20.3284489,-101.9972362
7,19.7040551,-101.2232675
8,19.7073425,-101.2032619
9,19.6974520393671,-101.158187243425
10,19.69473,-101.1625045
11,19.6837461,-101.1881257
12,0.0,0.0
13,19.6971524,-101.2587406
14,19.8991774,-100.6897771
15,19.8991755,-100.6897815
16,19.7124874,-101.2141937
17,20.037632,-102.7244032
18,19.8991795,-100.6897779
19,19.6978869,-101.1772125
20,19.69322,-101.1730726
21,19.695936,-101.162647
22,19.695944,-101.16271
23,19.6959476,-101.162566
24,19.6961126,-101.1627253
25,19.6960978,-101.1627163
26,19.696667,-101.1767781
27,19.7076053,-101.1900234
28,19.7228837,-101.2319806
29,19.6961119,-101.162733
30,19.6919571,-101.1179733
31,19.6658309,-101.1912735
32,19.4960126,-101.3267762
33,19.6919557,-101.117971
34,19.695946,-101.162649
35,19.695959,-101.163305
36,19.7191622589546,-101.173075295804
37,19.4445312,-99.155968
38,19.695977,-101.162646
39,21.1250888,-101.6399639
40,19.6436467750378,-101.152077659945
41,19.6919556,-101.1179717
42,19.6920562,-101.1177268
43,33.6557157402502,-117.905952411493
44,19.6811803,-101.1815678
45,19.4973972,-100.3955891
46,19.5306338706852,-101.538229063135
47,19.6922182,-101.1179754
48,19.9748148,-102.2849831
49,19.7082195,-101.1849812
50,19.6919525,-101.1179659
51,19.6919469,-101.1179722
52,19.6958943,-101.1625137
53,19.716961,-101.1995946
54,19.6960912,-101.1627081
55,20.1261056,-101.1974144
56,19.6841999,-101.1509087
57,17.9653736475497,-102.229867046142
58,19.7076675,-101.1576587
59,19.3427938,-101.931164
60,19.6772973,-101.2544707
61,19.6960396,-101.1625618
62,19.6961391698683,-101.162755140214
63,19.7076935,-101.157658
64,19.6975008929645,-101.15832761212
65,19.6974723024213,-101.158258088431
66,19.6974773524454,-101.158296156923
